procedure,year,sex,age_band,count,population,risk
<<<<<<< Updated upstream
redo_savr,2023,Men,25-29,1,1006000,9.940357852882703e-07
redo_savr,2023,Men,30-34,3,992000,3.0241935483870967e-06
redo_savr,2023,Men,35-39,5,922000,5.422993492407809e-06
redo_savr,2023,Men,40-44,3,845000,3.550295857988166e-06
redo_savr,2023,Men,45-49,2,857000,2.333722287047841e-06
redo_savr,2023,Men,50-54,15,1088000,1.3786764705882353e-05
redo_savr,2023,Men,55-59,13,947000,1.3727560718057022e-05
redo_savr,2023,Men,60-64,20,713000,2.8050490883590464e-05
redo_savr,2023,Men,65-69,21,544000,3.860294117647059e-05
redo_savr,2023,Men,70-74,21,314000,6.687898089171974e-05
redo_savr,2023,Men,75-79,18,269000,6.691449814126395e-05
redo_savr,2023,Men,>=80,6,197000,3.045685279187817e-05
savr,2023,Men,10-14,2,831000,2.406738868832732e-06
savr,2023,Men,15-19,7,850000,8.235294117647058e-06
savr,2023,Men,20-24,6,941000,6.376195536663124e-06
savr,2023,Men,25-29,14,1006000,1.3916500994035786e-05
savr,2023,Men,30-34,12,992000,1.2096774193548387e-05
savr,2023,Men,35-39,28,922000,3.036876355748373e-05
savr,2023,Men,40-44,36,845000,4.2603550295857986e-05
savr,2023,Men,45-49,55,857000,6.417736289381563e-05
savr,2023,Men,5-9,3,863000,3.4762456546929315e-06
savr,2023,Men,50-54,128,1088000,0.00011764705882352942
savr,2023,Men,55-59,160,947000,0.0001689545934530095
savr,2023,Men,60-64,258,713000,0.000361851332398317
savr,2023,Men,65-69,318,544000,0.0005845588235294118
savr,2023,Men,70-74,304,314000,0.0009681528662420382
savr,2023,Men,75-79,195,269000,0.0007249070631970261
savr,2023,Men,>=80,60,197000,0.00030456852791878173
tavi,2023,Men,55-59,2,947000,2.1119324181626186e-06
tavi,2023,Men,60-64,10,713000,1.4025245441795232e-05
tavi,2023,Men,65-69,21,544000,3.860294117647059e-05
tavi,2023,Men,70-74,61,314000,0.0001942675159235669
tavi,2023,Men,75-79,175,269000,0.0006505576208178438
tavi,2023,Men,>=80,722,197000,0.00366497461928934
redo_savr,2023,Women,20-24,2,902000,2.2172949002217296e-06
redo_savr,2023,Women,25-29,1,969000,1.0319917440660475e-06
redo_savr,2023,Women,30-34,3,962000,3.1185031185031185e-06
redo_savr,2023,Women,35-39,1,899000,1.1123470522803115e-06
redo_savr,2023,Women,40-44,3,830000,3.614457831325301e-06
redo_savr,2023,Women,45-49,3,851000,3.525264394829612e-06
redo_savr,2023,Women,50-54,8,1099000,7.279344858962693e-06
redo_savr,2023,Women,55-59,8,980000,8.163265306122448e-06
redo_savr,2023,Women,60-64,13,763000,1.7038007863695936e-05
redo_savr,2023,Women,65-69,18,609000,2.955665024630542e-05
redo_savr,2023,Women,70-74,13,400000,3.25e-05
redo_savr,2023,Women,75-79,9,406000,2.2167487684729063e-05
redo_savr,2023,Women,>=80,10,438000,2.2831050228310503e-05
savr,2023,Women,10-14,1,790000,1.2658227848101265e-06
savr,2023,Women,15-19,3,811000,3.6991368680641185e-06
savr,2023,Women,20-24,3,902000,3.325942350332594e-06
savr,2023,Women,25-29,5,969000,5.159958720330238e-06
savr,2023,Women,30-34,6,962000,6.237006237006237e-06
savr,2023,Women,35-39,7,899000,7.78642936596218e-06
savr,2023,Women,40-44,10,830000,1.2048192771084337e-05
savr,2023,Women,45-49,23,851000,2.7027027027027027e-05
savr,2023,Women,5-9,3,819000,3.663003663003663e-06
savr,2023,Women,50-54,62,1099000,5.6414922656960876e-05
savr,2023,Women,55-59,91,980000,9.285714285714286e-05
savr,2023,Women,60-64,166,763000,0.00021756225425950196
savr,2023,Women,65-69,182,609000,0.00029885057471264366
savr,2023,Women,70-74,215,400000,0.0005375
savr,2023,Women,75-79,167,406000,0.0004113300492610837
savr,2023,Women,>=80,90,438000,0.00020547945205479453
tavi,2023,Women,55-59,1,980000,1.020408163265306e-06
tavi,2023,Women,60-64,1,763000,1.3106159895150721e-06
tavi,2023,Women,65-69,12,609000,1.9704433497536946e-05
tavi,2023,Women,70-74,60,400000,0.00015
tavi,2023,Women,75-79,187,406000,0.00046059113300492613
tavi,2023,Women,>=80,1031,438000,0.0023538812785388126
redo_savr,2024,Men,15-19,1,840000,1.1904761904761904e-06
redo_savr,2024,Men,20-24,2,919000,2.176278563656148e-06
redo_savr,2024,Men,25-29,1,997000,1.0030090270812438e-06
redo_savr,2024,Men,30-34,3,1002000,2.9940119760479042e-06
redo_savr,2024,Men,35-39,6,932000,6.437768240343348e-06
redo_savr,2024,Men,45-49,5,823000,6.075334143377886e-06
redo_savr,2024,Men,50-54,10,1055000,9.47867298578199e-06
redo_savr,2024,Men,55-59,11,985000,1.116751269035533e-05
redo_savr,2024,Men,60-64,17,732000,2.3224043715846996e-05
redo_savr,2024,Men,65-69,16,588000,2.7210884353741498e-05
redo_savr,2024,Men,70-74,18,318000,5.660377358490566e-05
redo_savr,2024,Men,75-79,12,271000,4.428044280442804e-05
redo_savr,2024,Men,>=80,6,208000,2.8846153846153845e-05
savr,2024,Men,10-14,3,832000,3.6057692307692307e-06
savr,2024,Men,15-19,3,840000,3.5714285714285714e-06
savr,2024,Men,20-24,8,919000,8.705114254624591e-06
savr,2024,Men,25-29,10,997000,1.0030090270812437e-05
savr,2024,Men,30-34,13,1002000,1.2974051896207585e-05
savr,2024,Men,35-39,23,932000,2.467811158798283e-05
savr,2024,Men,40-44,29,861000,3.368176538908246e-05
savr,2024,Men,45-49,35,823000,4.25273390036452e-05
savr,2024,Men,50-54,81,1055000,7.677725118483412e-05
savr,2024,Men,55-59,137,985000,0.00013908629441624365
savr,2024,Men,60-64,206,732000,0.0002814207650273224
savr,2024,Men,65-69,259,588000,0.00044047619047619046
savr,2024,Men,70-74,226,318000,0.0007106918238993711
savr,2024,Men,75-79,181,271000,0.0006678966789667897
savr,2024,Men,>=80,59,208000,0.00028365384615384613
tavi,2024,Men,50-54,1,1055000,9.47867298578199e-07
tavi,2024,Men,60-64,6,732000,8.19672131147541e-06
tavi,2024,Men,65-69,8,588000,1.3605442176870749e-05
tavi,2024,Men,70-74,48,318000,0.0001509433962264151
tavi,2024,Men,75-79,125,271000,0.00046125461254612545
tavi,2024,Men,>=80,576,208000,0.002769230769230769
